title,company_name,description,location,work_type,skills,apply_url
4 Corporate Associate Positions (AmLaw),LHH,"Job #1: Corporate Associate The ideal candidate will have at least 3 years of experience handling corporate, private equity, venture capital, and M&A matters The firm is widely regarded for its corporate practice The firm’s practice and partners receive rankings from U.S. News Best Lawyers , The Legal 500, and Chambers USA Job #2: Corporate Securities Associate The ideal candidate will have least 3 years of experience handling a wide range of corporate securities matters Expertise in guiding public companies regarding their SEC periodic reporting obligations, compliance with stock exchange rules, and corporate governance matters, along with hands-on experience in registered and exempt capital-raising transactions Job #3: Mid to Senior Level Corporate Securities Associate The ideal candidate will have a background in mergers and acquisitions, equity and debt offerings, and securities law Excellent work environment, professional development, recognition for its great reputation nationally and internationally, reasonable track to partnership, and great salary Job #4: Mid to Senior Level Corporate & Securities Associate Collaborative environment working with members of all offices Experience handling corporate governance, exchange regulations, and more Highly regarded for its banking and finance, corporate m&a, and litigation practice areas Firm provides closing costs or temporary housing for a new home if you need to relocate! Show more Show less","Atlanta, GA",Onsite,"Corporate Law, Private Equity, Venture Capital, M&A, Securities Law, SEC Periodic Reporting, Stock Exchange Rules, Corporate Governance, Capital Raising, Mergers and Acquisitions",https://www.linkedin.com/jobs/view/4-corporate-associate-positions-amlaw-at-lhh-3798676411
Summer 2024 Datacenter Hardware Validation Engineer Undergrad Co-Op/ Intern,AMD,"WHAT YOU DO AT AMD CHANGES EVERYTHING We care deeply about transforming lives with AMD technology to enrich our industry, our communities, and the world. Our mission is to build great products that accelerate next-generation computing experiences – the building blocks for the data center, artificial intelligence, PCs, gaming and embedded. Underpinning our mission is the AMD culture. We push the limits of innovation to solve the world’s most important challenges. We strive for execution excellence while being direct, humble, collaborative, and inclusive of diverse perspectives. AMD together we advance_ As a Co-op student, you can make an immediate contribution to AMD's next generation of technology innovations. We have a dynamic, high-energy work environment, filled with expert employees, and unique opportunities for developing your career. You will have the opportunity to connect with AMD leaders, receive one-on-one mentorship, attend amazing networking events and much more. With AMD, you can get hands-on experience that will give you a competitive edge in the workforce. Get a jumpstart on an exciting career - apply today! Location: Austin, Texas, US This is a hybrid role (remote & in-office) as the hiring team will require the student to come to the Austin office approximately 2 days a week. PROGRAM TERM May 20, 2024 – August 9, 2024 About The Team The Datacenter Hardware Validation Team delivers industry-leading semiconductor products for AI Machine Learning and High-Performance Computing. Our customers include industry leaders in AI such as Microsoft and Facebook, cloud providers such as Amazon and Google, and research labs such as Oak Ridge National Labs. The DC Hardware Validation Team is responsible for validating various GPU and CPU features, hardware platforms, and emerging industry technologies prior to mass production. About The Role The Datacenter Hardware Validation Team is looking for dynamic and energetic engineers-in-training to join our internship program. As a key contributor to the time-to-market success of AMD’s GPU based accelerators, you will work in collaborative teams to ensure quality of industry leading products for Machine Learning and High-Performance Computing applications. With a strong track record of re-hiring previous interns, our team fosters continuous innovation and is committed to nurturing your career growth. POSITION PURPOSE You will be a key member of the Datacenter Hardware Validation Team responsible for many aspects of hardware validation. This includes test execution, automation development, and issue debug involving AMD’s industry leading datacenter products. Past interns have had the opportunity to contribute to AMD’s success on the Frontier supercomputer, the world’s first to break the exascale barrier. Key Responsibilities Hands-on execution on datacenter platforms for test and debug Create and execute test procedures to validate the silicon design and software stack of datacenter products Debug failures in collaboration with various engineering teams to deliver quality products to customers Develop and maintain automation framework in Python What You Will Learn Exposure to datacenter and silicon industry engineering product life cycle Hands-on experience in silicon validation and debug techniques Strong understanding of GPU and accelerated computer architecture Effective communication with silicon design and other cross-functional teams Key Qualifications Knowledge of computer architecture Processors Data traffic and management High Speed Interfaces and Interconnects Knowledge of computer software architecture (BIOS, firmware, OS and driver) Comfortable operating in Linux command line Knowledge of scripting languages (Python) and programming languages (C/C++) Hands-on experience with electrical laboratory equipment (multimeters, digital oscilloscopes, logic analyzer, ...) Good understanding of circuit design, schematics, and other technical documentation Excellent verbal and written communication skills Pursuing a BS (3rd or 4th year) in EE, Electrical/Electronics, CE, CS What Would Set You Apart ML/AI Framworks, Models and Workloads Intern Benefits Healthcare, dental and vision coverage Paid holidays Internship stipend for interns working in an AMD office Potential education assistance for required Co-op/Intern course By submitting your application, you are indicating your interest in AMD internship positions. If your experience aligns with any of our internship opportunities, a recruiter will contact you. At AMD, your base pay is one part of your total rewards package. Your base pay will depend on where your skills, qualifications, experience, and location fit into the hiring range for the position. You may be eligible for incentives based upon your role such as either an annual bonus or sales incentive. Many AMD employees have the opportunity to own shares of AMD stock, as well as a discount when purchasing AMD stock if voluntarily participating in AMD’s Employee Stock Purchase Plan. You’ll also be eligible for competitive benefits described in more detail here. AMD does not accept unsolicited resumes from headhunters, recruitment agencies, or fee-based recruitment services. AMD and its subsidiaries are equal opportunity, inclusive employers and will consider all applicants without regard to age, ancestry, color, marital status, medical condition, mental or physical disability, national origin, race, religion, political and/or third-party affiliation, sex, pregnancy, sexual orientation, gender identity, military or veteran status, or any other characteristic protected by law. We encourage applications from all qualified candidates and will accommodate applicants’ needs under the respective laws throughout all stages of the recruitment and selection process. Show more Show less","Austin, TX",Onsite,"Hardware Validation, ML/AI Frameworks, Test Execution, Automation Development, Debugging, GPU, HighPerformance Computing, Python, Linux, C/C++, Schematics, Circuit Design",https://www.linkedin.com/jobs/view/summer-2024-datacenter-hardware-validation-engineer-undergrad-co-op-intern-at-amd-3792253704
RA/QA Post Market Data Analyst,"Amick Brown - SAP, Cloud Technologies and Business Intelligence Staffing & Consulting","Amick Brown is seeking an experienced RA/QA Post Market Data Analyst for our direct client. Location: Remote Duration: 12 months Estimated pay range: $40 - $50 an hour per client contract and candidate skills, experience, and work location. Job Description The RA/QA Data Analyst will be a member of the RA/QA data analytics team and use technical expertise and a solid understanding of business processes and needs to turn data into useful information. In this role, the analyst will work closely with the Post Market teams to understand, collect, clarify, and translate business data requirements into reports and analytics as required. The analyst will be heavily involved with the use, distribution, and successful delivery of reports on a periodic basis. The ideal candidate would have medical device post market experience and have the ability to explore and integrate different data sources using tools such as SQL and Tableau. Roles And Responsibilities Partner primarily with Post Market teams to support data needs Translate non-technical data requirements into metrics, reports, and visualization dashboards Partner with business teams to define and document business requirements for new metrics and reports Ability to execute deep dives into available data sets to provide insight on product quality performance Develop user documentation and a variety of visual representation of data analysis and ensures consistency and accuracy of data and analysis provided Support business system integrations for data needs and report outputs Perform ongoing monitoring and refinement of reports and analytical solutions to ensure a good user experience in support reports and dashboards Partner with architecture and solution delivery teams to enable reports that have long-term value Perform functional, regression, usability test, etc. as applicable for both new and existing datasets, reports and dashboards. Document and summarize test results and findings as required Required Skills Education: Bachelor’s or higher degree in Statistics, Mathematics, Computer and Information Science or equivalent blend of work and certification experience required Minimum 5 years of data analytics experience, with 3+ years hands on using Tableau required Minimum 3+ years of experience with Microsoft SQL or equivalent required Programming skills and experience, especially for data exploration and presentation to management and other users of data required Highly organized, self-starter and highly motivated with strong prioritization skills managing multiple projects required Creative problem solver that is able to look at an issue from a variety of angles required Ability to work in fast-paced teams with a great work ethic and an enthusiasm for problem solving and data analysis required Working experience in medical device, pharmaceutical, regulatory or other related industries highly preferred Experience and capability using visualization software such as Tableau, Power BI, and familiarity with SAP, CRM or other ERP system preferred Knowledge of the business of medical device development and manufacture preferred Excellent writing skills and documentation skills that enable analyses to be reliably reproduced using the same data years later preferred We are an AA/EEO/Veterans/Disabled employer. We will consider for employment qualified applicants with arrest and conviction records in accordance with fair chance laws. Amick Brown is an Information Technology consulting company specializing in ERP, Data Analytics, Information Security, Application Development, Networking, and Cloud Computing. The company was founded in 2010 and is headquartered in San Ramon, California. Regular full-time employees are eligible for the following Amick Brown-provided benefits: Health Vision Dental 401k with company match Paid time off Sick Leave Long-Term Disability Life Insurance Wellness & Discount Programs Show more Show less","California, United States",Onsite,"Data Analytics, SQL, Tableau, Data Visualization, Business Requirements, Data Analysis, User Documentation, Data Integration, Report Monitoring, Test Result Documentation",https://www.linkedin.com/jobs/view/ra-qa-post-market-data-analyst-at-amick-brown-sap-cloud-technologies-and-business-intelligence-staffing-consulting-3755580476
Data Coordinator,Cottingham & Butler,"Location: Pittsburgh, PA (Robinson Township) Employment Type: Full-Time Employee Benefits Coordinators Corporation (BCC) is currently adding multiple roles within the administrative and technical field. This is a great opportunity to start your career in a position where you can be trained by and work with some of the top experts in the industry. In addition, y ou will be working in a friendly, team-oriented work environment with the opportunity to advance your career. Qualified applicants possess the following skill sets: Microsoft Office Suite: Excel, Outlook, and Word Working with data and data files Investigative and problem solving skills Strong technology skills Detail Oriented Self-motivated and can work independently and in a team setting Be able to Multi-Task Our Pittsburgh (Moon Township) location gives you the opportunity to be a part of a big organization, but to also have that small company feel. In addition, there are a number of opportunities for you to get involved, whether it is in projects for work or volunteer and social opportunities. Pay & Benefits (Most Benefits Start Day 1) Medical, Dental, Vision Insurance PTO/ Paid Holidays 401(k) with company match Profit-Sharing/ Defined Contribution (1-year waiting period) Company-paid ST and LT Disability Maternity Leave/ Parental Leave Company-paid Term Life/ Accidental Death Insurance About The Company Benefits Coordinators Corporation (BCC), is a third-party employee benefits administrator and a national leader in developing new services designed to help our clients run more effective employee benefit programs. We sell a promise to help our clients through life’s toughest moments. To ensure we keep that promise, we hold ourselves to a set of principles that we believe position our clients and our company for long-term success. Our Guiding Principles are not just words on paper, they are a promise we make to ourselves and our clients. These principles have become a driving force of our culture and share many common themes with the values of our clients. First, we hire and develop amazing people that have an insatiable desire to succeed, are committed to earning, and thrive on challenges. Secondly, we pride ourselves on serving our clients' best interests through quality service, innovative solutions, and constantly evaluating our performance. Third, we have embraced and are guided by the theme of “better every day” constantly pushing ourselves to be better than yesterday. Ultimately, we get more energy from the future we are creating for our people, our clients, and our company than from our past success. ﻿ As an organization, we are very optimistic about the future and have incredibly high expectations for our people and our performance. We also understand that our growth is fueled by becoming better, not bigger – growth funds investments in new resources to better serve our clients and provide the career opportunities our employees want and deserve. This is why we are a growth company and why we are committed to being better every day. Show more Show less","Pittsburgh, PA",Onsite,"Microsoft Office Suite, Data Analysis, Problem Solving, Technology Skills, DetailOriented, Multitasking, Investigative Skills, Teamwork, SelfMotivation",https://www.linkedin.com/jobs/view/data-coordinator-at-cottingham-butler-3727586242
Volunteer: NHQ:IT - Enterprise Web Services - Code4Good Volunteer - Data Scientist,VolunteerMatch,"Every single day, the American Red Cross helps people in emergencies. Whether it's one displaced family, thousands of disaster victims, or providing care and comfort to an ill or injured service member or veteran or support to a military family member, our vital work is made possible by people like you. It is through the time and care of ordinary people that we can do extraordinary things. This position supports the National Headquarters (NHQ) Information Technology (IT) team. This is a 100% virtual (volunteer-from-home) opportunity. This position will be used to assist the Enterprise Data Services team to oversee the collection, storage and interpretation of data for business units. Key Responsibilities The Code4Good Volunteer is an enthusiastic team player who wants to support the Red Cross mission by contributing their software engineering talent and practical experience to support internal software development and support efforts of the Enterprise Data Services team. Oversee the collection, storage and interpretation of data for business units. Create organized categories, comparing data points to current company processes and writing reports outlining business predictions or proposals. Required Required 2+ years of data science/advanced analytic experience. This may include one or more of the following skills Machine learning Regression Natural Language Processing (NLP) Neural networks Quantitative research methods Statistics Bayesian analysis Pandas Scikit-learn Stats models TensorFlow MXNet SageMaker R Strong knowledge of API development, Java frameworks, web services and UI development Technical hands-on experience in the design, development, coding, testing and debugging of software Git, Atlassian Jira, Atlassian Confluence, Slack, or similar collaboration tools Resume submission required Willingness to comply with current public health and Red Cross policies Must reside in the United States Preferred Ideal candidate should have a degree in a quantitative field, mathematics, computer science, physics, economics, engineering, statistics, operations research, quantitative social science, etc.). Product delivery within an agile methodology framework This is a volunteer opportunity provided by VolunteerMatch, in partnership with LinkedIn for Good. Show more Show less","Washington, DC",Onsite,"Machine learning, Regression, Natural Language Processing (NLP), Neural networks, Quantitative research methods, Statistics, Bayesian analysis, Pandas, Scikitlearn, Stats models",https://www.linkedin.com/jobs/view/volunteer-nhq-it-enterprise-web-services-code4good-volunteer-data-scientist-at-volunteermatch-3803994433
Associate SAS Data Analyst (Placement),Celerion,"Celerion is committed to swift, exceptional clinical research through translational medicine. Every day, we use our experience, agility, and innovative research strategies to help get drugs to market faster. Celerion offers one of the most experienced clinical pharmacology research networks in the industry. Are you looking for an opportunity to support a business creating life-saving treatments? If so, we can't wait to meet you! Celerion is seeking a Associate SAS Data Analyst to join our Data Management and Biometrics team for a one year placement . This role will provide SAS statistical support to the project team for analysis and reporting of clinical data in early stage clinical research studies. The primary responsibilities of this position are: provide statistical programming support to the project team for analysis and reports of clinical data in early clinical research studies develop, maintain, and process SAS programs for standard studies that create: edits to clinical checks, data sets, statistical analyses, tables, figures, and electronic data transfers assist Senior Data Analysts and Biostatisticians with highly complex projects and perform peer Quality Control functions for output using data from studies with similar characteristics also responsible for ensuring strict compliance with study protocol and department procedures Requirements We require candidates working towards a Bachelor's degree in Statistics, Mathematical Science or Physics with SAS programming experience preferred. Additionally, we require excellent interpersonal skills, ability to work with a team and demonstrated problem-solving skills. £12 - £12 an hour Celerion Values: Integrity Trust Teamwork Respect Are you ready to join our team? Celerion is an Equal Opportunity Employer. Show more Show less","Belfast, Northern Ireland, United Kingdom",Onsite,"SAS, Statistical programming, Data analysis, Reporting, Clinical data, Early clinical research studies, Data sets, Statistical analyses, Tables, Figures",https://uk.linkedin.com/jobs/view/associate-sas-data-analyst-placement-at-celerion-3798687056
Azure Data Architect,VeeAR Projects Inc.,"Job Description: Data Architect/Technical Consultant Data & Analytics who can work with customers and teams (local/remote), lead technical or business discussions, provide technical guidance to clients and team members delivering initiatives. Must have been in an Architect/Consultant/Engineer role, led the design/implementation of several complex data-oriented solutions on Azure Data Platform with multiple integrations and reporting needs. Experience in On Prem and other Cloud Data technologies will be helpful. This role is a combination of solutioning, consulting, hands-on experience. Envision, design, and implement the technical solution working with customer and internal technical team. Lead multiple Data, analytics projects providing design/implementation guidance to teams. 15 years of IT experience, 10 years of experience in architecture and design of highly scalable, performance, resilient data and analytical solutions. Modern Data Platform: Must have worked on several (5+) projects building solutions for Data Pipelines, Data warehousing, Data Modelling on Azure Data Platform (AWS, GCP - good to have) Expertise in design and development of Data pipelines and ETL using ADF, Databricks to move data from relational/structured/unstructured data from source to data lake to data warehouse, on Azure Creating Pipelines and integrations of multiple data sources Data processing and transformation using Databricks (Scala/Python) Expertise in optimizing cost and performance of data pipelines Experience working with Data Lake, Synapse on Azure Designing Data Lake storage layer (Landing/staging, raw, trusted/curated zones) Designing data storage DB schema, data models and processing on Azure Synapse DW Experience with Synapse Spark Pool Experience in Data Modelling Building Data Models from structured and semi-structured data (Data Model, Common Data Model etc.) Performance optimization of data model for high performance analytical and reporting workloads Expertise with SQL Server and extensive experience with SQL programming Programming and optimizing DB objects Views, Stored Procs, Functions Good experience in defining data access policy and security for azure data services Experience with Oracle EDW, knowledge/experience migrating from Oracle EDW to any Cloud DW Experience integrating AI skills/Client models with Data and reporting solutions Experience in building API layer for downstream consumption Reporting /Preferred: Expertise in building scalable high performance reporting solution using Power BI, in both shared and dedicated capacity Designing Reports against Cloud and On-Prem data sources Performance analysis and optimization of slow performing reports/visuals Import models and Direct Query; Experience working with Power BI Paginated reports Expertise in integrating Power BI reports with custom applications using Power BI Embedded or Premium Building data models in Power BI, Hands-on with DAX Migrating reports from Tableau to Power BI Show more Show less","Sacramento, CA",Onsite,"Data Architect, Technical Consultant, Data & Analytics, Azure Data Platform, On Prem, Cloud Data technologies, Solutioning, Consulting, Handson experience, Data Pipelines",https://www.linkedin.com/jobs/view/azure-data-architect-at-veear-projects-inc-3719535607
Clinical Data Analyst/Coordinator,LVIS,"Company Description LVIS Corporation is on a mission to revolutionize the entire continuum of neurological care by developing AI driven software tools to help physicians accelerate patient throughput and improve patient diagnostic and treatment outcomes. We have an international team with our headquarters located in Palo Alto, California, USA, and we have an office in Gangnam, Seoul, South Korea. We are looking for talented individuals to join us in our mission to transform the neurology health care industry. Key responsibilities: You’ll be responsible for the collection, validation, and organization of LVIS’ clinical data in compliance with regulatory requirements. Collaborating with other team members to ensure accuracy and timely data delivery. Clinical database management, ensuring data integrity, consistency, and compliance. Preparation and management of clinical trial-related documents You’d be expected to regularly audit for both our database and clinical related documents to identify discrepancies in our reporting. Regularly communicate with hospitals and research institutions to facilitate the data collection process. Investigator/Site/Vendor management. Ensure compliance with local and international regulations relative to their respective sites. Qualifications: Bachelor's degree, preferably a Master's in Electrical Engineering, Neuroscience, Clinical Physiology, Nursing, Biotechnology, or any other related fields. Clinical trials project experience with a preferred clinical experience of 1-3 years, whether in academia or industry. Basic scientific knowledge and similar technical field knowledge in clinical research, preferably in analyzing and processing brain signal and image data (fMRI/EEG) Basic understanding of FDA processes, OHRP, and HIPAA compliance. Solid experience in coding-related tasks (e.g., Python, Java, MATLAB) Proactive and a positive attitude towards their work and teammates. A startup mindset with a drive to learn and a willingness to work outside of just your own responsibilities. Show more Show less","Palo Alto, CA",Onsite,"Clinical data management, Data integrity, Data consistency, Data collection, Data validation, Clinical trial documentation, Regulatory compliance, Clinical databases",https://www.linkedin.com/jobs/view/clinical-data-analyst-coordinator-at-lvis-3807211371
"Canvas Consultant (Member Service Specialist) - Littleton, NMLS",Canvas Credit Union,"We’re Canvas Credit Union We’re passionate about transforming financial services. Our members, families, and the communities we call home motivate everything we do. As part of the credit union movement, we believe in providing our members with education, support, and guidance to build strong financial futures. Why Canvas? At Canvas, we’re dedicated to transforming financial services from the inside out. Our culture is a top priority and second to none. We strive to balance hard work and high achievement with a fun, supportive environment. What you'll do If this location is too far from your home and family, check out our other postings. If you don’t find what you’re looking for, apply to this listing and tell us where you want to work. There may already be an opening that we haven’t listed yet. Here’s what a Consultant’s day looks like: • LEARN about our members, hear them, and understand their situations. • EDUCATE our members on the ways we can help them afford life. • PROVIDE meaningful, careful, focused and ethical lending solutions. • PROCESS transactions like deposits, withdrawals, transfers, and payments with consummate professionalism. • PERFORM advanced frontline transactions like IRAs, CDs, wire transfers, and calmly handle disputes. • GROW with us by immersing in financial industry trends, products, services and technological advances. • SHARE your knowledge on effective practices, competitive intelligence, and business opportunities. • STAND shoulder-to-shoulder with our members and your Canvas teammates through our peaks and valleys. • PROVIDE members with excellent service through face-to-face interactions on a daily basis. Who You Are Enough about us. Here's who you are, or who you think you are ... or who you really want to be: • You are authentic and passionate about helping others. • You enjoy learning and want a career…not just a paycheck. • You understand financial products and services, much like a Relationship Banker or Personal Banker. • You’re comfortable recommending and processing financial products like loans. • You’ve won service excellence awards and earned high fives and fist bumps for your awesomeness. • You hold an informal or formal leadership position at your current workplace. • You seek new ways to serve our members and the community. • You work well with others, even when things don’t go as planned. • You are innovative and thrive on challenges. • You embrace change and a fast pace. We do think we can change the world for people and are making it happen! We know you might not have every qualification we’ve listed. Passion and potential matter here. If you know you’re right for the position, let us know. We’re good at spotting talent. What’s In It For You Hang in there. We’re almost finished. Besides, this is the payoff: • You will be a financial services guru : You’ll be a cooperative finance rock star. We’ll arm you with knowledge of products and services, and compliance with financial regulations. This knowledge will prepare you for many, many career opportunities. • Seriously good benefits : Beyond healthcare, dental, and life insurance, we make it so worth your while. Canvas employees get a 10% company contribution to their 401k, generous personal time off, and employee discounts on loans. (That includes cars and houses!) The starting pay range for this position is $20.00-$24.00 hourly, and final pay rate will be determined based on experience and internal equity factors. • This is a career : The Consultant experience is the foundation of a career at Canvas Credit Union. We invest in developing your skills and promote heavily from within. While we hope you stay with us until you retire, Credit Unions across the country collaborate with each other and hire from within. • You help members afford life : At Canvas, you have the opportunity to make a difference. The joy that comes with making a member’s day, and maybe helping them buy their first house or go to college, is an indescribably good feeling. Canvas benefits Medical/Dental/Vision Insurance Paid Vacation Paid Sick Time Paid Holidays Paid Wellness Day Paid Volunteer Time Flexible Spending Account Health Savings Account World Class 401(k) Plan Tuition Reimbursement Rate Discounts on Qualifying Loans May be eligible for incentives or discretionary bonus based on results NMLS This role at Canvas requires Nationwide Multistate Licensing System (NMLS) registration under the S.A.F.E. Act of 2008. This means we conduct background checks to ensure NMLS registration and Canvas requirements are met. Not meeting or staying current may result in removal from role. Canvas also conducts pre-employment background reviews (components include criminal, employment, address, social security number, motor vehicle record, sex offender, and global sanctions). Position will be open until filled, or if unable to fill until posting is canceled. Other Important Information You’ll be asked to work a flexible schedule Monday thru Saturday - 40 hours per week. You’ll use standard office equipment such as computers, phones, printers, copiers, fax machines, and filing cabinets. The position also requires manual dexterity, the ability to lift files, and flex paperclips. You may be required to bend, stoop, or stand on one leg while multiplying fractions and compounding daily, variable interest in your head. Just kidding — nobody can do that on one leg. Please note, this job posting is not designed to cover or contain a comprehensive listing of activities, duties, or responsibilities required for this job. Duties, responsibilities, and activities may change at any time. Canvas Credit Union is an Equal Opportunity Employer, Gender/Minority/Veteran/Disabled. Equal Opportunity Employer/Protected Veterans/Individuals with Disabilities The contractor will not discharge or in any other manner discriminate against employees or applicants because they have inquired about, discussed, or disclosed their own pay or the pay of another employee or applicant. However, employees who have access to the compensation information of other employees or applicants as a part of their essential job functions cannot disclose the pay of other employees or applicants to individuals who do not otherwise have access to compensation information, unless the disclosure is (a) in response to a formal complaint or charge, (b) in furtherance of an investigation, proceeding, hearing, or action, including an investigation conducted by the employer, or (c) consistent with the contractor’s legal duty to furnish information. 41 CFR 60-1.35(c) Show more Show less","Littleton, CO",Onsite,"Financial services, Money management, Customer service, Banking, Lending, IRA, CD, Loans, Deposits, Withdrawals, Transfers, Payments, KYC, AML, NMLS, Compliance, Leadership",https://www.linkedin.com/jobs/view/canvas-consultant-member-service-specialist-littleton-nmls-at-canvas-credit-union-3801148486
Data Entry Specialist,Fōcus - an Ōnin Group company,"Our client is looking for a Data Entry Specialist to help with the supporting investments under the private banking umbrella. They are looking with someone that has banking, customer service or retail experience. Day to Day Responsibilities: Opening a large volume of accounts, working with multiple sources and applications, looking for certain criteria, crediting certain accounts Top Must-Have Skills / Candidate Requirements: - Must be able to maintain high level of confidentiality due to exposure of client information. - Requirements Verification and Validation - Effective time management - Excellent comprehension skills - Excellent interpersonal skills - Excellent Verbal and Written Communication Skills - High level of accuracy - High Level of Attention to Detail What will separate an average candidate vs a great candidate on a resume? - Prior data entry experience - Previous customer service representative - anything with $ amount numbers. Assistant manager in retail setting Show more Show less","Louisville, KY",Onsite,"Data Entry, Banking, Customer Service, Retail, Confidentiality, Requirements Verification, Validation, Time Management, Comprehension, Interpersonal Skills, Verbal Communication",https://www.linkedin.com/jobs/view/data-entry-specialist-at-f%C5%8Dcus-an-%C5%8Dnin-group-company-3792240528
